"FPUser","LogInfo","DateTime"
"MESA\scalvert","Viewing Data - FAPID: 14599","2025-02-03 08:29:15.433000000"
"MESA\bchandle","Viewing Data - FAPID: 6843","2025-02-03 08:37:55.807000000"
"MESA\bchandle","Viewing Data - FAPID: 8155","2025-02-03 08:38:18.930000000"
"MESA\bchandle","Viewing Data - FAPID: 13040","2025-02-03 08:39:07.540000000"
"MESA\bchandle","Viewing Data - FAPID: 6843","2025-02-03 08:40:39.040000000"
"MESA\bchandle","Viewing Data - FAPID: 11569","2025-02-03 08:41:14.947000000"
"MESA\kbeckel","Viewing Data - FAPID: 10614","2025-02-03 09:10:54.617000000"
"MESA\scalvert","Viewing Data - FAPID: 12976","2025-02-03 09:31:54.470000000"
"MESA\scalvert","Viewing Data - FAPID: 6859","2025-02-03 09:33:11.360000000"
"MESA\scalvert","Viewing Data - FAPID: 14786","2025-02-07 10:10:41.340000000"
"MESA\scalvert","Inserting New Data - FAPID: 14789","2025-02-07 11:14:45.323000000"
"MESA\scalvert","Uploading Document - FAPID: 14789 - Garner, Curtis","2025-02-07 11:15:30.747000000"
"MESA\scalvert","Uploading Document - FAPID: 14789 - Garner, Curtis","2025-02-07 11:15:30.747000000"
"MESA\scalvert","Viewing Data - FAPID: 14789","2025-02-07 11:15:39.590000000"
"MESA\scalvert","Inserting New Data - FAPID: 14790","2025-02-07 11:17:59.967000000"
"MESA\scalvert","Uploading Document - FAPID: 14790 - Keyes, Jacob C","2025-02-07 11:18:07.090000000"
"MESA\scalvert","Uploading Document - FAPID: 14790 - Keyes, Jacob F","2025-02-07 11:18:07.090000000"
"MESA\scalvert","Viewing Data - FAPID: 14790","2025-02-07 11:18:13.700000000"
"MESA\scalvert","Inserting New Data - FAPID: 14791","2025-02-07 11:20:15.967000000"
"MESA\scalvert","Uploading Document - FAPID: 14791 - Schroetlin, Mi","2025-02-07 11:20:30.167000000"
"MESA\scalvert","Uploading Document - FAPID: 14791 - Schroetlin, Mi","2025-02-07 11:20:30.167000000"
"MESA\bchandle","Viewing Data - FAPID: 13040","2025-02-03 09:58:32.797000000"
"MESA\scalvert","Viewing Data - FAPID: 14791","2025-02-07 11:20:38.840000000"
"MESA\scalvert","Inserting New Data - FAPID: 14792","2025-02-07 11:22:42.703000000"
"MESA\scalvert","Uploading Document - FAPID: 14792 - Arroyo, Remi C","2025-02-07 11:22:49.797000000"
"MESA\scalvert","Uploading Document - FAPID: 14792 - Arroyo, Remi F","2025-02-07 11:22:49.797000000"
"MESA\scalvert","Viewing Data - FAPID: 14792","2025-02-07 11:22:55.623000000"
"MESA\scalvert","Inserting New Data - FAPID: 14793","2025-02-07 11:25:14.957000000"
"MESA\scalvert","Uploading Document - FAPID: 14793 - Rodriguez, Ari","2025-02-07 11:25:22.160000000"
"MESA\scalvert","Uploading Document - FAPID: 14793 - Rodriguez, Ari","2025-02-07 11:25:22.177000000"
"MESA\scalvert","Viewing Data - FAPID: 14793","2025-02-07 11:25:28.080000000"
"MESA\scalvert","Inserting New Data - FAPID: 14794","2025-02-07 11:29:26.493000000"
"MESA\scalvert","Uploading Document - FAPID: 14794 - Klishevich, Ry","2025-02-07 11:29:34.007000000"
"MESA\scalvert","Uploading Document - FAPID: 14794 - Klishevich, Ry","2025-02-07 11:29:34.023000000"
"MESA\scalvert","Viewing Data - FAPID: 14794","2025-02-07 11:29:42.883000000"
"MESA\hart","Viewing Data - FAPID: 1350","2025-02-10 07:50:24.713000000"
"MESA\hart","Viewing Data - FAPID: 1406","2025-02-10 09:20:49.373000000"
"MESA\hart","Viewing Data - FAPID: 13351","2025-02-10 09:20:54.357000000"
"MESA\hart","Viewing Data - FAPID: 13158","2025-02-10 10:35:21.780000000"
"MESA\hart","Updating Data for - FAPID: 13158","2025-02-10 10:35:32.387000000"
"MESA\rachelt","Viewing Data - FAPID: 10788","2025-02-11 14:11:52.260000000"
"MESA\bchandle","Viewing Data - FAPID: 14715","2025-02-12 06:26:56.880000000"
"MESA\hart","Viewing Data - FAPID: 14146","2025-02-12 10:01:48.883000000"
"MESA\hart","Viewing Data - FAPID: 14133","2025-02-12 10:02:47.990000000"
"MESA\bandrews","Viewing Data - FAPID: 13508","2025-02-12 13:54:05.050000000"
"MESA\scalvert","Viewing Data - FAPID: 13508","2025-02-12 13:55:11.130000000"
"MESA\scalvert","Viewing Data - FAPID: 10666","2025-02-12 14:05:28.940000000"
"MESA\scalvert","Updating Data for - FAPID: 10666","2025-02-12 14:07:48.177000000"
"MESA\scalvert","Viewing Data - FAPID: 9329","2025-02-12 14:07:58.707000000"
"MESA\hart","Viewing Data - FAPID: 11796","2025-02-12 14:09:39.723000000"
"MESA\bchandle","Viewing Data - FAPID: 11828","2025-02-03 08:42:30.013000000"
"MESA\bchandle","Viewing Data - FAPID: 11824","2025-02-03 10:56:58.947000000"
"MESA\scalvert","Viewing Data - FAPID: 8459","2025-02-05 13:19:20.807000000"
"MESA\crystal","Viewing Data - FAPID: 11890","2025-02-06 08:41:41.807000000"
"MESA\bchandle","Viewing Data - FAPID: 11659","2025-02-11 14:56:56.287000000"
"MESA\bchandle","Viewing Data - FAPID: 14686","2025-02-11 14:59:20.633000000"
"MESA\hart","Viewing Data - FAPID: 11659","2025-02-11 15:05:45.313000000"
"MESA\hart","Viewing Data - FAPID: 13158","2025-02-11 15:20:55.820000000"
"MESA\hart","Updating Data for - FAPID: 13158","2025-02-11 15:24:13.217000000"
"MESA\hart","Viewing Data - FAPID: 13158","2025-02-11 15:24:16.653000000"
"MESA\hart","Viewing Data - FAPID: 11796","2025-02-12 14:09:56.350000000"
"MESA\scalvert","Updating Data for - FAPID: 9329","2025-02-12 14:09:57.287000000"
"MESA\scalvert","Viewing Data - FAPID: 7649","2025-02-12 14:10:29.350000000"
"MESA\scalvert","Updating Data for - FAPID: 7649","2025-02-12 14:11:17.787000000"
"MESA\scalvert","Viewing Data - FAPID: 2801","2025-02-12 14:11:38.740000000"
"MESA\scalvert","Updating Data for - FAPID: 2801","2025-02-12 14:12:50.990000000"
"MESA\scalvert","Viewing Data - FAPID: 6554","2025-02-12 14:13:02.427000000"
"MESA\scalvert","Updating Data for - FAPID: 6554","2025-02-12 14:18:17.760000000"
"MESA\bchandle","Viewing Data - FAPID: 14146","2025-02-13 11:16:37.223000000"
"MESA\scalvert","Inserting New Data - FAPID: 14795","2025-02-14 09:55:35.347000000"
"MESA\scalvert","Uploading Document - FAPID: 14795 - Roof, Elizabet","2025-02-14 09:55:53.330000000"
"MESA\scalvert","Uploading Document - FAPID: 14795 - Roof, Elizabet","2025-02-14 09:55:53.347000000"
"MESA\scalvert","Viewing Data - FAPID: 14795","2025-02-14 09:56:05.487000000"
"MESA\scalvert","Inserting New Data - FAPID: 14796","2025-02-14 10:04:06.383000000"
"MESA\scalvert","Uploading Document - FAPID: 14796 - Bell, Ian CHC.","2025-02-14 10:04:14.540000000"
"MESA\scalvert","Uploading Document - FAPID: 14796 - Bell, Ian FBI ","2025-02-14 10:04:14.540000000"
