"FPUser","LogInfo","DateTime"
"MESA\scalvert","Successful login","2025-02-03 08:28:56.090000000"
"MESA\kbeckel","Successful login","2025-02-03 08:35:33.007000000"
"MESA\bchandle","Successful login","2025-02-03 08:37:46.147000000"
"MESA\scalvert","Successful login","2025-02-03 09:30:20.403000000"
"MESA\kbeckel","Successful login","2025-02-04 10:52:18.040000000"
"MESA\scalvert","Successful login","2025-02-05 10:11:48.080000000"
"MESA\scalvert","Successful login","2025-02-06 10:47:14.810000000"
"MESA\kbeckel","Successful login","2025-02-06 15:39:52.030000000"
"MESA\scalvert","Successful login","2025-02-07 10:10:30.997000000"
"MESA\scalvert","Successful login","2025-02-07 11:13:55.793000000"
"MESA\bchandle","Successful login","2025-02-03 09:58:25.703000000"
"MESA\hart","Successful login","2025-02-10 07:50:16.650000000"
"MESA\hart","Successful login","2025-02-10 09:20:20.593000000"
"MESA\hart","Successful login","2025-02-10 10:35:15.373000000"
"MESA\kbeckel","Successful login","2025-02-10 15:18:00.053000000"
"MESA\hart","Successful login","2025-02-11 14:05:22.507000000"
"MESA\rachelt","Successful login","2025-02-11 14:11:41.747000000"
"MESA\bchandle","Successful login","2025-02-12 06:26:27.487000000"
"MESA\kbeckel","Successful login","2025-02-12 08:44:19.233000000"
"MESA\hart","Successful login","2025-02-12 10:01:37.227000000"
"MESA\bchandle","Successful login","2025-02-12 13:51:49.160000000"
"MESA\bandrews","Successful login","2025-02-12 13:53:43.190000000"
"MESA\scalvert","Successful login","2025-02-12 13:55:03.520000000"
"MESA\hart","Successful login","2025-02-12 14:09:30.427000000"
"MESA\kbeckel","Successful login","2025-02-05 08:05:18.520000000"
"MESA\scalvert","Successful login","2025-02-05 13:19:08.853000000"
"MESA\crystal","Successful login","2025-02-06 08:41:33.167000000"
"MESA\scalvert","Successful login","2025-02-10 13:23:47.900000000"
"MESA\bandrews","Successful login","2025-02-11 08:34:43.853000000"
"MESA\bandrews","Successful login","2025-02-11 11:00:01.650000000"
"MESA\bchandle","Successful login","2025-02-11 14:56:35.487000000"
"MESA\hart","Successful login","2025-02-11 15:05:39.283000000"
"MESA\hart","Successful login","2025-02-11 15:26:34.060000000"
"MESA\hart","Successful login","2025-02-12 09:29:36.057000000"
"MESA\hart","Successful login","2025-02-12 14:09:48.457000000"
"MESA\crystal","Successful login","2025-02-12 14:16:15.227000000"
"MESA\scalvert","Successful login","2025-02-13 07:49:17.277000000"
"MESA\bchandle","Successful login","2025-02-13 11:16:20.973000000"
"MESA\kbeckel","Successful login","2025-02-13 11:39:06.277000000"
"MESA\scalvert","Successful login","2025-02-14 09:44:52.557000000"
"MESA\kbeckel","Successful login","2025-02-07 15:09:56.827000000"
"MESA\bshay","Successful login","2025-02-11 07:52:10.770000000"
"MESA\hart","Successful login","2025-02-11 09:48:05.407000000"
"MESA\scalvert","Successful login","2025-02-12 10:38:53.327000000"
"MESA\hart","Successful login","2025-02-12 12:42:09.337000000"
"MESA\scalvert","Successful login","2025-02-12 12:43:21.573000000"
"MESA\scalvert","Successful login","2025-02-12 15:19:38.240000000"
"MESA\scalvert","Successful login","2025-02-13 14:26:26.140000000"
"MESA\hart","Successful login","2025-02-13 14:58:58.500000000"
"MESA\bchandle","Successful login","2025-02-13 09:47:37.160000000"
"MESA\bandrews","Successful login","2025-02-13 13:52:29.310000000"
"MESA\hart","Successful login","2025-02-18 08:42:38.700000000"
"MESA\kbeckel","Successful login","2025-02-18 11:15:59.453000000"
"MESA\scalvert","Successful login","2025-02-18 11:51:32.083000000"
"MESA\scalvert","Successful login","2025-02-18 12:24:18.923000000"
"MESA\scalvert","Successful login","2025-02-18 14:42:56.677000000"
"MESA\scalvert","Successful login","2025-02-14 12:30:11.130000000"
"MESA\bandrews","Successful login","2025-02-18 11:39:51.237000000"
"MESA\hart","Successful login","2025-02-18 15:27:29.893000000"
"MESA\scalvert","Successful login","2025-02-14 14:32:45.440000000"
"MESA\bchandle","Successful login","2025-02-19 06:44:44.393000000"
"MESA\hart","Successful login","2025-02-19 07:43:01.897000000"
"MESA\crystal","Successful login","2025-02-19 12:05:11"
"MESA\hart","Successful login","2025-02-19 12:44:40.370000000"
"MESA\kbeckel","Successful login","2025-02-20 09:11:11.753000000"
"MESA\scalvert","Successful login","2025-02-20 10:08:04.347000000"
"MESA\scalvert","Successful login","2025-02-20 13:45:36.970000000"
"MESA\scalvert","Successful login","2025-02-24 08:21:29.803000000"
"MESA\hart","Successful login","2025-02-24 08:22:14.133000000"
"MESA\scalvert","Successful login","2025-02-24 09:32:49.593000000"
"MESA\bchandle","Successful login","2025-02-24 09:41:18.623000000"
"MESA\bnieslan","Successful login","2025-02-24 10:25:21.480000000"
"MESA\rachelt","Successful login","2025-02-19 08:37:40.213000000"
"MESA\kbeckel","Successful login","2025-02-19 08:44:16.827000000"
"MESA\hart","Successful login","2025-02-19 08:44:52.467000000"
"MESA\scalvert","Successful login","2025-02-19 09:31:16.503000000"
"MESA\hart","Successful login","2025-02-19 11:11:54.450000000"
"MESA\hart","Successful login","2025-02-19 11:14:00.143000000"
"MESA\bchandle","Successful login","2025-02-19 11:18:56.413000000"
"MESA\hart","Successful login","2025-02-19 15:38:53.300000000"
"MESA\kbeckel","Successful login","2025-02-20 13:05:19.577000000"
"MESA\scalvert","Successful login","2025-02-21 10:44:04.483000000"
"MESA\hart","Successful login","2025-02-19 15:03:34.547000000"
"MESA\bchandle","Successful login","2025-02-24 11:21:26.437000000"
"MESA\hart","Successful login","2025-02-24 11:27:21.473000000"
"MESA\hart","Successful login","2025-02-24 12:28:01.240000000"
"MESA\bnieslan","Successful login","2025-02-25 07:25:57.850000000"
"MESA\hart","Successful login","2025-02-25 13:05:15.470000000"
"MESA\hart","Successful login","2025-02-26 10:17:16.247000000"
"MESA\hart","Successful login","2025-02-26 15:13:21.790000000"
"MESA\bnieslan","Successful login","2025-02-27 09:08:04.383000000"
"MESA\sogdon","Successful login","2025-02-27 09:18:54.987000000"
"MESA\crystal","Successful login","2025-02-25 14:15:01.793000000"
"MESA\hart","Successful login","2025-02-27 14:18:58.280000000"
"MESA\scalvert","Successful login","2025-02-28 09:30:52.573000000"
"MESA\hart","Successful login","2025-02-24 15:47:41.267000000"
"MESA\hart","Successful login","2025-02-26 12:57:30.163000000"
"MESA\bchandle","Successful login","2025-02-26 13:29:30.157000000"
"MESA\hart","Successful login","2025-02-26 13:49:07.870000000"
"MESA\bnieslan","Successful login","2025-02-27 11:41:43.240000000"
"MESA\scalvert","Successful login","2025-02-27 11:49:44.047000000"
"MESA\scalvert","Successful login","2025-02-27 12:57:58.070000000"
"MESA\scalvert","Successful login","2025-02-27 15:39:47.777000000"
"MESA\scalvert","Successful login","2025-02-28 12:45:02.297000000"
"MESA\scalvert","Successful login","2025-02-28 15:37:47.800000000"
